emotion,sent_id,f0_mean,f0_std,f0_range,voiced_ratio,duration,words_per_sec,syllables_per_sec,rms_mean,rms_std,pause_count,pause_total,pause_max,spectral_centroid,mfcc_mean,mfcc_std,jitter_proxy,shimmer_proxy
angry,s1,173.51252694914086,47.814709752434155,176.66376317145466,0.7567567567567568,2.36,0.0,0.0,0.12647630274295807,0.06761381030082703,0.0,0.07733333333333334,0.0,2134.534420993262,-9.096480369567871,78.27037811279297,0.052199925141942424,0.19770651928617497
angry,s2,171.12542739844176,50.682875823364874,164.78707920276943,0.5784313725490197,2.16,0.0,0.0,0.10691352188587189,0.07774915546178818,0.0,0.368,0.0,1872.3054192769184,-17.036117553710938,97.41303253173828,0.049810387986528724,0.1214636666000608
angry,s3,196.56387267729727,39.08154320393413,169.9246277912677,0.6825396825396826,2.68,0.0,0.0,0.10711009055376053,0.05176946148276329,0.0,0.07733333333333334,0.0,2359.7725627715286,-12.480944633483887,80.91976165771484,0.04394314109941547,0.20069312256791202
angry,s4,164.32406858901868,49.14598877371412,186.34176506615287,0.7521367521367521,2.48,0.0,0.0,0.12058214098215103,0.07412388175725937,0.0,0.3466666666666667,0.0,1825.1279502701557,-11.501838684082031,88.63809967041016,0.057400608902953794,0.19156739642808485
angry,s5,176.05239863023533,51.356326422050316,209.21435956959272,0.7596153846153846,2.2,0.0,0.0,0.1268414705991745,0.061524029821157455,0.0,0.10933333333333334,0.0,2079.3844317669063,-8.9782075881958,77.96963500976562,0.05153959034374714,0.19078818956446955
fearful,s1,153.92949253205092,59.27164337460704,240.87083218413852,0.8037383177570093,2.28,0.0,0.0,0.1207568421959877,0.055716317147016525,0.0,0.04,0.0,2034.7697034784637,-7.308952331542969,77.08248901367188,0.06300070040384448,0.19703862745433245
fearful,s2,149.31668128647058,46.39843810498858,167.20095906535568,0.7339449541284404,2.32,0.0,0.0,0.09616955369710922,0.06106705591082573,0.0,0.272,0.0,1936.910299324604,-14.766463279724121,99.21824645996094,0.05398250119027928,0.14645023380597702
fearful,s3,175.9480995352973,43.505326329960475,139.66883250613478,0.7787610619469026,2.4,0.0,0.0,0.10039528459310532,0.05352881923317909,0.0,0.16,0.0,2519.8911340383775,-11.966897964477539,82.22293090820312,0.05401941701742421,0.22267903336534567
fearful,s4,151.74626864119844,35.45851802910236,115.83850355478742,0.5480769230769231,2.2,0.0,0.0,0.10614136606454849,0.06158413738012314,0.0,0.088,0.0,1741.3065699751264,-9.148176193237305,84.76947784423828,0.05806049075561212,0.19267034815904702
fearful,s5,180.91060958242466,48.24358816228222,200.2239342373939,0.6730769230769231,2.2,0.0,0.0,0.11909817159175873,0.059813518077135086,0.0,0.088,0.0,2196.9974964148273,-8.514176368713379,76.908447265625,0.05438949018919055,0.17823679589678917
happy,s1,156.38129405454535,50.92614525620255,247.3662269857914,0.7419354838709677,2.64,0.0,0.0,0.11542531102895737,0.06233951821923256,0.0,0.12266666666666666,0.0,2406.831199335286,-9.385863304138184,80.00111389160156,0.04963716825530432,0.1922156177053697
happy,s2,179.53875508543794,48.72693237758793,147.65527207548806,0.6036036036036037,2.36,0.0,0.0,0.11006249487400055,0.06520109623670578,0.0,0.22666666666666666,0.0,2023.0240458438846,-13.335610389709473,90.26570129394531,0.05469190194425394,0.1503247013599067
happy,s3,175.93546086043116,46.10052958873444,152.53795809243223,0.5371900826446281,2.56,0.0,0.0,0.09452188014984131,0.05585592985153198,0.0,0.14933333333333335,0.0,2445.24304103616,-12.711002349853516,84.44175720214844,0.04980603915491416,0.2201433462979109
happy,s4,159.8797538459145,44.347999472016824,165.3862535620712,0.5982905982905983,2.48,0.0,0.0,0.11482466012239456,0.05982286110520363,0.0,0.112,0.0,1765.5998229100705,-9.239761352539062,84.55498504638672,0.05438825022541842,0.18191166312714424
