model,condition,rep,input_path,output_path,method,source_duration,start_time,segment_duration,rms_energy,voiced_ratio,segment_sha256,flags
chatterbox,cold,1,outputs/chatterbox/cold/r1.wav,segments/chatterbox/cold/r1.wav,cold_full_clip,3.42,0.0,3.42,0.072804,0.944,e1414e2f7a9ac540,
chatterbox,cold,2,outputs/chatterbox/cold/r2.wav,segments/chatterbox/cold/r2.wav,cold_full_clip,3.38,0.0,3.38,0.078664,0.9463,e06d909b2ef4090e,
chatterbox,cold,3,outputs/chatterbox/cold/r3.wav,segments/chatterbox/cold/r3.wav,cold_full_clip,3.26,0.0,3.26,0.084531,0.9164,c7ee13e258a263ae,
chatterbox,cold,4,outputs/chatterbox/cold/r4.wav,segments/chatterbox/cold/r4.wav,cold_full_clip,3.42,0.0,3.42,0.076421,0.9115,884539a0d9217d28,
chatterbox,cold,5,outputs/chatterbox/cold/r5.wav,segments/chatterbox/cold/r5.wav,cold_full_clip,3.5,0.0,3.5,0.082282,0.8559,bce00b404ec79d05,
chatterbox,primed_neutral,1,outputs/chatterbox/primed_neutral/r1.wav,segments/chatterbox/primed_neutral/r1.wav,vad,12.98,9.89,3.09,0.069016,0.8889,fdf8e27bc9a75a9b,
chatterbox,primed_neutral,2,outputs/chatterbox/primed_neutral/r2.wav,segments/chatterbox/primed_neutral/r2.wav,vad,13.14,9.96,3.18,0.079673,0.8603,29e13b7b9eb490cc,
chatterbox,primed_neutral,3,outputs/chatterbox/primed_neutral/r3.wav,segments/chatterbox/primed_neutral/r3.wav,vad,12.94,9.79,3.15,0.08441,0.875,53c7f14774fa6aa8,
chatterbox,primed_neutral,4,outputs/chatterbox/primed_neutral/r4.wav,segments/chatterbox/primed_neutral/r4.wav,vad,13.06,9.64,3.42,0.079789,0.8997,d9adcf5a41f83756,
chatterbox,primed_neutral,5,outputs/chatterbox/primed_neutral/r5.wav,segments/chatterbox/primed_neutral/r5.wav,vad,12.82,9.69,3.13,0.085043,0.8935,b7b60f5d1ee42fe3,
chatterbox,primed_owl,1,outputs/chatterbox/primed_owl/r1.wav,segments/chatterbox/primed_owl/r1.wav,vad,14.94,11.95,2.99,0.073372,0.8716,5bc2012378c19fac,
