model,feature,condition_a,condition_b,mean_a,mean_b,t,p,p_bonferroni_6,cohens_d
chatterbox,f0_mean,cold,primed_neutral,192.3756,188.0855,2.251332,0.0716392463,0.4298354778,1.423867
chatterbox,f0_mean,cold,primed_owl,192.3756,188.93632,1.702198,0.1483329102,0.8899974613,1.076564
chatterbox,f0_mean,cold,primed_death,192.3756,190.1474,0.753596,0.488739471,1.0,0.476616
chatterbox,f0_mean,primed_neutral,primed_owl,188.0855,188.93632,-0.328409,0.7510707335,1.0,-0.207704
chatterbox,f0_mean,primed_neutral,primed_death,188.0855,190.1474,-0.611436,0.5612047972,1.0,-0.386706
chatterbox,f0_mean,primed_owl,primed_death,188.93632,190.1474,-0.352215,0.7351531237,1.0,-0.22276
chatterbox,f0_std,cold,primed_neutral,29.02426,23.43004,1.576111,0.1547050276,0.9282301658,0.99682
chatterbox,f0_std,cold,primed_owl,29.02426,24.2858,1.850939,0.1146362898,0.6878177388,1.170636
chatterbox,f0_std,cold,primed_death,29.02426,23.58208,2.01372,0.0855853792,0.5135122752,1.273588
chatterbox,f0_std,primed_neutral,primed_owl,23.43004,24.2858,-0.290736,0.7821288196,1.0,-0.183878
chatterbox,f0_std,primed_neutral,primed_death,23.43004,23.58208,-0.049554,0.9620664877,1.0,-0.031341
chatterbox,f0_std,primed_owl,primed_death,24.2858,23.58208,0.383375,0.7119123641,1.0,0.242467
chatterbox,f0_range,cold,primed_neutral,139.77344,127.2115,0.401031,0.7007425974,1.0,0.253634
chatterbox,f0_range,cold,primed_owl,139.77344,108.56954,1.739059,0.141250767,0.8475046018,1.099877
chatterbox,f0_range,cold,primed_death,139.77344,129.45864,0.427735,0.6801352329,1.0,0.270523
chatterbox,f0_range,primed_neutral,primed_owl,127.2115,108.56954,0.685706,0.5269273141,1.0,0.433679
chatterbox,f0_range,primed_neutral,primed_death,127.2115,129.45864,-0.071108,0.9453304584,1.0,-0.044972
