model,feature,condition,n,mean,sd,eta_squared
chatterbox,f0_mean,cold,5,192.3756,1.582518,
chatterbox,f0_mean,primed_neutral,5,188.0855,3.956244,
chatterbox,f0_mean,primed_owl,5,188.93632,4.231738,
chatterbox,f0_mean,primed_death,5,190.1474,6.419324,
chatterbox,f0_mean,ANOVA,20,0.898142,0.4636523661,0.14413
chatterbox,f0_std,cold,5,29.02426,5.120579,
chatterbox,f0_std,primed_neutral,5,23.43004,6.063849,
chatterbox,f0_std,primed_owl,5,24.2858,2.558995,
chatterbox,f0_std,primed_death,5,23.58208,3.209138,
chatterbox,f0_std,ANOVA,20,1.766425,0.1940287792,0.248801
chatterbox,f0_range,cold,5,139.77344,37.551449,
chatterbox,f0_range,primed_neutral,5,127.2115,59.126076,
chatterbox,f0_range,primed_owl,5,108.56954,14.129462,
chatterbox,f0_range,primed_death,5,129.45864,38.698035,
chatterbox,f0_range,ANOVA,20,0.511573,0.6800105221,0.087525
chatterbox,speech_rate,cold,5,12.15168,1.542281,
chatterbox,speech_rate,primed_neutral,5,12.32292,2.031986,
chatterbox,speech_rate,primed_owl,5,12.00474,1.572509,
chatterbox,speech_rate,primed_death,5,11.6976,1.749936,
chatterbox,speech_rate,ANOVA,20,0.116766,0.9489641349,0.021425
chatterbox,pause_count,cold,5,1.0,0.707107,
chatterbox,pause_count,primed_neutral,5,0.4,0.547723,
chatterbox,pause_count,primed_owl,5,0.2,0.447214,
chatterbox,pause_count,primed_death,5,0.6,0.547723,
chatterbox,pause_count,ANOVA,20,1.794872,0.1886966627,0.251799
chatterbox,pause_duration_mean,cold,5,0.193,0.115521,
chatterbox,pause_duration_mean,primed_neutral,5,0.078,0.109636,
chatterbox,pause_duration_mean,primed_owl,5,0.034,0.076026,
chatterbox,pause_duration_mean,primed_death,5,0.122,0.113666,
chatterbox,pause_duration_mean,ANOVA,20,2.086425,0.1423259604,0.281199
chatterbox,rms_energy,cold,5,0.059016,0.003154,
chatterbox,rms_energy,primed_neutral,5,0.059501,0.004492,
chatterbox,rms_energy,primed_owl,5,0.057261,0.003306,
chatterbox,rms_energy,primed_death,5,0.059419,0.007392,
