id,model,condition,target_id,repetition,filename,f0_mean,f0_std,f0_cv,energy_std,speaking_rate,target_duration_s
82:kokoro_noun_t01_r01,kokoro,noun,t01,1,kokoro_noun_t01_r01.wav,206.92,61.7,0.298197,0.040829,7.194,2.363
83:kokoro_number_t01_r01,kokoro,number,t01,1,kokoro_number_t01_r01.wav,234.39,36.51,0.155759,0.043266,9.33,1.822
84:kokoro_noun_t01_r02,kokoro,noun,t01,2,kokoro_noun_t01_r02.wav,212.17,65.95,0.310846,0.042262,7.256,2.343
85:kokoro_number_t01_r02,kokoro,number,t01,2,kokoro_number_t01_r02.wav,171.75,42.34,0.246513,0.030921,7.512,2.263
86:kokoro_noun_t02_r01,kokoro,noun,t02,1,kokoro_noun_t02_r01.wav,213.43,62.67,0.293648,0.034811,7.075,2.544
87:kokoro_number_t02_r01,kokoro,number,t02,1,kokoro_number_t02_r01.wav,229.71,46.1,0.200674,0.04313,8.4,2.143
88:kokoro_noun_t02_r02,kokoro,noun,t02,2,kokoro_noun_t02_r02.wav,215.67,58.04,0.269114,0.035778,7.075,2.544
89:kokoro_number_t02_r02,kokoro,number,t02,2,kokoro_number_t02_r02.wav,172.92,45.02,0.260377,0.031033,7.806,2.306
90:kokoro_noun_t03_r01,kokoro,noun,t03,1,kokoro_noun_t03_r01.wav,210.12,57.09,0.271688,0.037955,5.714,3.325
91:kokoro_number_t03_r01,kokoro,number,t03,1,kokoro_number_t03_r01.wav,210.39,56.77,0.269805,0.042171,6.73,2.823
92:kokoro_noun_t03_r02,kokoro,noun,t03,2,kokoro_noun_t03_r02.wav,211.83,57.55,0.271652,0.038372,5.616,3.383
93:kokoro_number_t03_r02,kokoro,number,t03,2,kokoro_number_t03_r02.wav,195.63,45.74,0.233826,0.039543,6.733,2.822
94:kokoro_noun_t04_r01,kokoro,noun,t04,1,kokoro_noun_t04_r01.wav,210.82,62.5,0.29645,0.036391,7.308,2.463
95:kokoro_number_t04_r01,kokoro,number,t04,1,kokoro_number_t04_r01.wav,205.79,55.92,0.271742,0.034698,7.954,2.263
96:kokoro_noun_t04_r02,kokoro,noun,t04,2,kokoro_noun_t04_r02.wav,213.77,63.22,0.295714,0.037295,7.134,2.523
97:kokoro_number_t04_r02,kokoro,number,t04,2,kokoro_number_t04_r02.wav,188.94,55.66,0.294606,0.03765,6.711,2.682
98:kokoro_noun_t05_r01,kokoro,noun,t05,1,kokoro_noun_t05_r01.wav,215.26,48.77,0.226561,0.035447,6.32,2.848
99:kokoro_number_t05_r01,kokoro,number,t05,1,kokoro_number_t05_r01.wav,225.54,43.23,0.191691,0.040816,8.725,2.063
100:kokoro_noun_t05_r02,kokoro,noun,t05,2,kokoro_noun_t05_r02.wav,220.14,44.07,0.2002,0.036254,6.287,2.863
101:kokoro_number_t05_r02,kokoro,number,t05,2,kokoro_number_t05_r02.wav,187.9,39.89,0.212271,0.0331,7.686,2.342
102:kokoro_noun_t06_r01,kokoro,noun,t06,1,kokoro_noun_t06_r01.wav,215.68,47.69,0.221131,0.037957,7.385,2.302
103:kokoro_number_t06_r01,kokoro,number,t06,1,kokoro_number_t06_r01.wav,212.96,59.19,0.277937,0.037906,7.259,2.342
104:kokoro_noun_t06_r02,kokoro,noun,t06,2,kokoro_noun_t06_r02.wav,219.26,50.09,0.228466,0.036949,7.654,2.221
105:kokoro_number_t06_r02,kokoro,number,t06,2,kokoro_number_t06_r02.wav,179.03,47.25,0.263943,0.031026,7.859,2.163
